iter	Passed	Remaining
152	218	1209
153	218	1202
154	219	1196
155	220	1190
156	220	1184
157	221	1178
158	221	1172
159	222	1166
160	222	1159
161	223	1153
162	223	1148
163	224	1142
164	224	1136
165	225	1130
166	225	1125
167	226	1119
168	226	1114
169	227	1109
170	227	1104
171	228	1098
172	228	1093
173	229	1088
174	229	1082
175	230	1077
176	230	1072
177	231	1067
178	231	1062
179	232	1057
180	232	1052
181	233	1047
182	233	1043
183	234	1038
184	234	1034
185	235	1029
186	235	1024
187	236	1020
188	236	1015
189	237	1011
190	237	1006
191	238	1002
192	238	998
193	239	993
194	239	989
195	240	985
196	240	981
197	241	977
198	241	973
199	242	969
200	243	966
201	243	962
202	244	958
203	244	954
204	245	950
205	245	946
206	246	943
207	246	939
208	247	936
209	247	932
210	248	929
211	249	925
212	249	922
213	250	918
214	250	915
215	251	911
216	251	908
217	252	904
218	252	901
219	253	898
220	253	895
221	254	891
222	254	888
223	255	884
224	256	882
225	256	878
226	257	875
227	257	872
228	258	869
229	258	866
230	259	863
231	259	860
232	260	857
233	260	854
234	261	851
235	261	847
236	262	845
237	263	842
238	263	839
239	264	836
240	264	833
241	265	831
242	265	828
243	266	825
244	267	822
245	267	820
246	268	817
247	268	814
248	269	811
249	269	809
250	270	806
251	270	803
252	271	801
253	271	798
254	272	796
255	273	794
256	273	791
257	274	789
258	275	787
259	275	784
260	276	782
261	276	779
262	277	777
263	278	775
264	278	772
265	279	770
266	279	768
267	280	766
268	281	763
269	281	761
270	282	759
271	282	756
272	283	755
273	284	752
274	284	750
275	285	748
276	285	746
277	286	744
278	287	742
279	287	739
280	288	737
281	288	735
282	289	732
283	289	730
284	290	728
285	290	726
286	291	724
287	292	722
288	292	720
289	293	718
290	293	715
291	294	713
292	294	711
293	295	709
294	295	707
295	296	705
296	297	703
297	297	701
298	314	738
299	315	736
300	316	734
301	316	732
302	317	730
303	318	728
304	318	725
305	319	723
306	319	721
307	320	718
308	320	716
309	321	714
310	321	712
311	322	710
312	322	708
313	323	706
314	324	704
315	324	702
316	325	700
317	325	698
318	326	696
319	326	694
320	327	692
321	327	690
322	328	688
323	328	686
324	329	684
325	330	682
326	330	680
327	331	678
328	331	676
329	332	674
330	332	672
331	333	670
332	333	668
333	334	666
334	335	665
335	335	663
336	336	661
337	336	659
338	337	657
339	337	655
340	338	653
341	338	652
342	339	650
343	340	648
344	340	646
345	341	644
346	341	643
347	342	641
348	342	639
349	343	637
350	343	636
351	344	634
352	345	632
353	345	630
354	346	629
355	346	627
356	347	625
357	347	624
358	348	622
359	349	620
360	349	618
361	350	617
362	350	615
363	351	613
364	351	612
365	352	610
366	352	608
367	353	607
368	354	605
369	354	604
370	355	602
371	355	600
372	356	599
373	357	597
374	357	596
375	358	594
376	358	592
377	359	591
378	359	589
379	360	588
380	361	586
381	361	585
382	362	583
383	362	581
384	363	580
385	363	578
386	364	577
387	365	575
388	365	574
389	366	572
390	366	571
391	367	569
392	367	568
393	368	566
394	369	565
395	369	563
396	370	562
397	370	560
398	371	559
399	372	558
400	372	556
401	373	555
402	374	554
403	374	552
404	375	551
405	375	550
406	376	548
407	377	547
408	378	547
409	380	547
410	381	546
411	381	544
412	382	543
413	383	542
414	383	540
415	385	541
416	386	540
417	387	538
418	387	537
419	388	536
420	389	535
421	389	534
422	390	532
423	392	533
424	392	531
425	393	530
426	394	529
427	394	527
428	395	526
429	396	525
430	398	526
431	399	525
432	400	524
433	400	522
434	401	521
435	401	519
436	402	518
437	403	517
438	403	515
439	404	514
440	404	513
441	405	511
442	405	510
443	406	509
444	407	507
445	407	506
446	408	504
447	408	503
448	409	502
449	410	501
450	410	500
451	411	498
452	411	497
453	412	496
454	413	494
455	413	493
456	414	492
457	415	491
458	415	489
459	416	488
460	416	487
461	417	486
462	418	484
463	418	483
464	419	482
465	419	481
466	420	479
467	420	478
468	421	477
469	422	475
470	422	474
471	423	473
472	423	472
473	424	471
474	425	469
475	425	468
476	426	467
477	426	465
478	427	464
479	427	463
480	428	462
481	429	461
482	429	460
483	430	458
484	430	457
485	431	456
486	431	454
487	432	453
488	432	452
489	433	451
490	434	450
491	434	448
492	435	447
493	435	446
494	436	445
495	436	443
496	437	442
497	437	441
498	438	440
